group,replicate,fastq_1,fastq_2,antibody,control
H0_H3k4m2,1,data/W7_1_R1.fastq.gz,data/W7_1_R2.fastq.gz,H3k4m2,Input_H0
H0_H3k4m2,2,data/w7_2_R1.fastq.gz,data/w7_2_R2.fastq.gz,H3k4m2,Input_H0
H24_H3k4m2,1,data/w8_1_R1.fastq.gz,data/w8_1_R2.fastq.gz,H3k4m2,Input_H24
H24_H3k4m2,2,data/w8_2_R1.fastq.gz,data/w8_2_R2.fastq.gz,H3k4m2,Input_H24
H0_H3k9ac,1,data/w3_combined_R1.fastq.gz,data/w3_combined_R2.fastq.gz,H3k9ac,Input_H0
H0_H3k9ac,2,data/S3_combined_R1.fastq.gz,data/S3_combined_R2.fastq.gz,H3k9ac,Input_H0
H24_H3k9ac,1,data/w11_combined_R1.fastq.gz,data/w11_combined_R2.fastq.gz,H3k9ac,Input_H24
H24_H3k9ac,2,data/S11_combined_R1.fastq.gz,data/S11_combined_R2.fastq.gz,H3k9ac,Input_H24
H0_H3k27ac,1,data/w9_R1.fastq.gz,data/w9_R2.fastq.gz,H3k27ac,Input_H0
H0_H3k27ac,2,data/Rw9_R1.fastq.gz,data/Rw9_R2.fastq.gz,H3k27ac,Input_H0
H24_H3k27ac,1,data/w10_R1.fastq.gz,data/w10_R2.fastq.gz,H3k27ac,Input_H24
H24_H3k27ac,2,data/Rw10_R1.fastq.gz,data/Rw10_R2.fastq.gz,H3k27ac,Input_H24
H0_H3kcr,1,data/w3_1_R1.fastq.gz,data/w3_1_R2.fastq.gz,H3kcr,Input_H0
H0_H3kcr,2,data/w3_2_R1.fastq.gz,data/w3_2_R2.fastq.gz,H3kcr,Input_H0
H24_H3kcr,1,data/w4_1_R1.fastq.gz,data/w4_1_R2.fastq.gz,H3kcr,Input_H24
H24_H3kcr,2,data/w4_2_R1.fastq.gz,data/w4_2_R2.fastq.gz,H3kcr,Input_H24
Input_H0,1,data/w1_combined_R1.fastq.gz,data/w1_combined_R2.fastq.gz,,
Input_H0,2,data/S1_combined_R1.fastq.gz,data/S1_combined_R2.fastq.gz,,
Input_H24,1,data/w9_combined_R1.fastq.gz,data/w9_combined_R2.fastq.gz,,
Input_H24,2,data/S9_combined_R1.fastq.gz,data/S9_combined_R2.fastq.gz,,
